,Année,Mois,Jour,Heure,Equipe domicile,Equipe exterieure,Vainqueur,Score domicile,Score extérieur,Buteurs,Lieu du match,Journée,Région,Temperature moyenne,Précipitations en mm
332,2021,04,24,T17:00:00+0200,Metz,Paris-SG,exterieur,1,3,"['F. Centonze', 'K. Mbappé', 'K. Mbappé', 'M. Icardi']",Metz,34,lorraine,10.0,0
333,2021,04,25,T13:00:00+0200,Nice,Montpellier,domicile,3,1,"['H. Boudaoui', 'J. Todibo', 'A. Claude-Maurice', 'G. Laborde']",Nice,34,provence-alpes-c-te-d-azur,16.0,0
334,2021,04,25,T15:00:00+0200,Lens,Nîmes,domicile,2,1,"['I. Ganago', 'M. Haïdara', 'Z. Ferhat']",Lens,34,nord-pas-de-calais,8.5,0
335,2021,04,25,T15:00:00+0200,Rennes,Dijon,domicile,5,1,"['M. Terrier', 'M. Terrier', 'F. Tait', 'G. Nyamsi', 'C. Grenier', 'Y. Benzia']",Rennes,34,bretagne,12.0,0
336,2021,04,25,T15:00:00+0200,Strasbourg,Nantes,exterieur,1,2,"['L. Ajorque', 'J. Castelletto', 'L. Blas']",Strasbourg,34,alsace,12.0,0
337,2021,04,25,T15:00:00+0200,Lorient,Bordeaux,domicile,4,1,"['Y. Wissa', 'T. Moffi', 'T. Moffi', 'T. Moffi', 'I. Sissokho']",Lorient,34,bretagne,13.5,0
338,2021,04,25,T17:05:00+0200,Angers,Monaco,exterieur,0,1,['W. Ben Yedder'],Angers,34,pays-de-la-loire,13.0,0
339,2021,04,25,T21:00:00+0200,Lyon,Lille,exterieur,2,3,"['I. Slimani', 'J. Fonte', 'B. Yilmaz', 'J. David', 'B. Yilmaz']",Lyon,34,rh-ne-alpes,16.5,0
340,2021,04,30,T21:00:00+0200,Marseille,Strasbourg,ex-aequo,1,1,"['D. Benedetto', 'S. Mitrovic']",Marseille,35,provence-alpes-c-te-d-azur,16.0,4
341,2021,05,01,T17:00:00+0200,Paris-SG,Lens,domicile,2,1,"['Neymar', 'Marquinhos', 'I. Ganago']",Paris,35,ile-de-france,11.0,0
342,2021,05,01,T21:00:00+0200,Lille,Nice,domicile,2,0,"['B. Yilmaz', 'M. Çelik']",Lille,35,nord-pas-de-calais,9.0,0
343,2021,05,02,T13:00:00+0200,Bordeaux,Rennes,domicile,1,0,['S. Mara'],Bordeaux,35,aquitaine,12.5,1
344,2021,05,02,T15:00:00+0200,Dijon,Metz,exterieur,1,5,"['M. Baldé', 'M. Gueye', 'P. Sarr', 'F. Chafik', 'V. Dias Goncalves', 'D. Bronn']",Dijon,35,bourgogne,8.5,5
345,2021,05,02,T15:00:00+0200,Nîmes,Reims,ex-aequo,2,2,"['R. Ripart', 'M. Koné', 'N. Mbuku', 'A. Flips']",Nîmes,35,languedoc-roussillon,13.5,1
346,2021,05,02,T15:00:00+0200,Lorient,Angers,domicile,2,0,"['Y. Wissa', 'F. Lemoine']",Lorient,35,bretagne,8.5,2
347,2021,05,02,T15:00:00+0200,Brest,Nantes,exterieur,1,4,"['R. Faivre', 'M. Simon', 'L. Blas', 'I. Louza', 'K. Coulibaly']",Brest,35,bretagne,9.0,1
348,2021,05,02,T17:05:00+0200,Montpellier,Saint-Étienne,exterieur,1,2,"['A. Delort', 'R. Hamouma', 'M. Debuchy']",Montpellier,35,languedoc-roussillon,14.0,1
349,2021,05,02,T21:00:00+0200,Monaco,Lyon,exterieur,2,3,"['K. Volland', 'W. Ben Yedder', 'M. Depay', 'Marcelo', 'R. Cherki']",Monaco,35,provence-alpes-c-te-d-azur,15.0,5
350,2021,05,07,T21:00:00+0200,Lens,Lille,exterieur,0,3,"['B. Yilmaz', 'B. Yilmaz', 'J. David']",Lens,36,nord-pas-de-calais,9.0,1
351,2021,05,08,T13:00:00+0200,Nantes,Bordeaux,domicile,3,0,"['K. Coulibaly', 'I. Louza', 'R. Kolo Muani']",Nantes,36,pays-de-la-loire,16.5,1
